quantity,value
distance_km,23.267688007335106
energy_traction_kwh,3.337005893662754
energy_regen_kwh,0.822361881353352
energy_auxiliary_kwh,0.15
energy_friction_brake_kwh,0.008799615254122305
energy_drivetrain_loss_kwh,0.4450190672101978
energy_road_load_kwh,2.0608253298451173
energy_net_kwh,2.664644012309402
consumption_wh_per_km,114.52121979069757
consumption_internal_wh_per_km,117.28445659628396
consumption_kwh_per_100km,11.452121979069757
regen_fraction,0.24643704792822935
soc_start,1.0
soc_end,0.9576246202624212
unmet_steps,0.0
limited_steps,0.0
max_tracking_error_kph,0.0
depleted,0.0
